HOCO	gene_symbol
AHR	Ahr
AIRE	Aire
ALX1	Alx1
ANDR	Ar
AP2A	Tfap2a
AP2B	Tfap2b
AP2C	Tfap2c
AP2D	Tfap2d
ARI3A	Arid3a
ARI3A	Arid3a
ARI5B	Arid5b
ARNT2	Arnt2
ARNT	Arnt
ATF1	Atf1
ATF2	Atf2
ATF3	Atf3
ATOH1	Atoh1
BACH1	Bach1
BARX2	Barx2
BATF	Batf
BCL6	Bcl6
BHE40	Bhlhe40
BHE41	Bhlhe41
BMAL1	Arntl
BRAC	T
BRCA1	Brca1
CDC5L	Cdc5l
CDX1	Cdx1
CDX2	Cdx2
CDX4	Cdx4
CEBPA	Cebpa
CEBPB	Cebpb
CEBPD	Cebpd
CEBPE	Cebpe
CEBPG	Cebpg
CEBPZ	Cebpz
COE1	Ebf1
COT1	Nr2f1
COT1	Nr2f1
COT2	Nr2f2
COT2	Nr2f2
CREB1	Creb1
CREM	Crem
CRX	Crx
CRX	Crx
CTCF	Ctcf
CUX1	Cux1
CXXC1	Cxxc1
DBP	Dbp
DDIT3	Ddit3
DLX2	Dlx2
DLX3	Dlx3
E2F1	E2f1
E2F2	E2f2
E2F3	E2f3
E2F4	E2f4
E2F5	E2f5
E2F6	E2f6
E2F7	E2f7
E4F1	E4f1
EGR1	Egr1
EGR2	Egr2
EGR3	Egr3
EGR4	Egr4
EHF	Ehf
ELF1	Elf1
ELF2	Elf2
ELF3	Elf3
ELF5	Elf5
ELK1	Elk1
ELK3	Elk3
ELK4	Elk4
EPAS1	Epas1
ERG	Erg
ERR1	Esrra
ERR2	Esrrb
ERR3	Esrrg
ESR1	Esr1
ESR2	Esr2
ESR2	Esr2
ETS1	Ets1
ETS2	Ets2
ETV4	Etv4
ETV5	Etv5
EVI1	Mecom
EVX1	Evx1
EVX2	Evx2
FEV	Fev
FLI1	Fli1
FOSB	Fosb
FOSL1	Fosl1
FOSL2	Fosl2
FOS	Fos
FOXA1	Foxa1
FOXA2	Foxa2
FOXA3	Foxa3
FOXC1	Foxc1
FOXC2	Foxc2
FOXD1	Foxd1
FOXD3	Foxd3
FOXF1	Foxf1
FOXF2	Foxf2
FOXI1	Foxi1
FOXJ2	Foxj2
FOXJ3	Foxj3
FOXJ3	Foxj3
FOXM1	Foxm1
FOXO1	Foxo1
FOXO3	Foxo3
FOXO4	Foxo4
FOXP2	Foxp2
FOXP3	Foxp3
FOXQ1	Foxq1
FUBP1	Fubp1
GABP1	Gabpb1
GABPA	Gabpa
GATA1	Gata1
GATA2	Gata2
GATA3	Gata3
GATA4	Gata4
GATA5	Gata5
GATA6	Gata6
GCM1	Gcm1
GCR	Nr3c1
GCR	Nr3c1
GFI1B	Gfi1b
GFI1	Gfi1
GLI1	Gli1
GLI2	Gli2
GLI3	Gli3
GLIS3	Glis3
HAND1	Hand1
HBP1	Hbp1
HEN1	Nhlh1
HES1	Hes1
HESX1	Hesx1
HEY2	Hey2
HIC1	Hic1
HIF1A	Hif1a
HINFP	Hinfp
HLF	Hlf
HLTF	Hltf
HMGA1	Hmga1
HMGA2	Hmga2
HNF1A	Hnf1a
HNF1B	Hnf1b
HNF4A	Hnf4a
HNF4G	Hnf4g
HNF6	Onecut1
HSF1	Hsf1
HSF2	Hsf2
HTF4	Tcf12
HXA10	Hoxa10
HXA13	Hoxa13
HXA1	Hoxa1
HXA5	Hoxa5
HXA7	Hoxa7
HXA9	Hoxa9
HXB1	Hoxb1
HXB6	Hoxb6
HXB7	Hoxb7
HXB8	Hoxb8
HXC6	Hoxc6
HXC8	Hoxc8
HXD10	Hoxd10
HXD13	Hoxd13
HXD4	Hoxd4
HXD9	Hoxd9
IKZF1	Ikzf1
INSM1	Insm1
IRF1	Irf1
IRF2	Irf2
IRF3	Irf3
IRF4	Irf4
IRF5	Irf5
IRF7	Irf7
IRF8	Irf8
IRF9	Irf9
ISL1	Isl1
ITF2	Tcf4
JUNB	Junb
JUND	Jund
JUN	Jun
KAISO	Zbtb33
KLF15	Klf15
KLF1	Klf1
KLF3	Klf3
KLF4	Klf4
KLF6	Klf6
KLF8	Klf8
LEF1	Lef1
LHX2	Lhx2
LHX3	Lhx3
MAFA	Mafa
MAFB	Mafb
MAFG	Mafg
MAFK	Mafk
MAFK	Mafk
MAF	Maf
MAX	Max
MAZ	Maz
MBD2	Mbd2
MCR	Nr3c2
MECP2	Mecp2
